Recipe Title,Recipe URL,Ingredients
 JapaneseInspired Veggie Pizza with Tofu Cottage Cheese,https://cookpad.com/eng/recipes/24769889,Ingredients 1hrIncluding making dough  Pizza Base 1 sheet Pizza dough  Shrimp Mayo Pizza  Pizza Dough   Tomato Sauce Quick Version Mix all ingredients in a bowl. No cooking needed 100 ml Canned crushed tomatoes 1/2 tsp Miso paste 1 tsp Basil koji or dried basil 1 pinch Salt to taste Garlic grated or paste  Toppings Broccoli florets  a few pieces Eggplant sliced  34 slices Cherry tomatoes  a few Kabocha Japanese pumpkin  or sweet potato sliced thin Lotus root sliced optional 1 tsp Olive oil For dressing vegetables  Black olives  sliced Deep- fried tofu abura-age  cut into small squares Tofu Cottage Cheese  Tofu Cottage Cheese Baby greens or sprouts  for garnish Mitsuba or parsley  for freshness  Pizza Base 1 sheet Pizza dough  Shrimp Mayo Pizza  Pizza Dough   Tomato Sauce Quick Version Mix all ingredients in a bowl. No cooking needed 100 ml Canned crushed tomatoes 1/2 tsp Miso paste 1 tsp Basil koji or dried basil 1 pinch Salt to taste Garlic grated or paste  Toppings Broccoli florets  a few pieces Eggplant sliced  34 slices Cherry tomatoes  a few Kabocha Japanese pumpkin  or sweet potato sliced thin Lotus root sliced optional 1 tsp Olive oil For dressing vegetables  Black olives  sliced Deep- fried tofu abura-age  cut into small squares Tofu Cottage Cheese  Tofu Cottage Cheese Baby greens or sprouts  for garnish Mitsuba or parsley  for freshness
JapaneseStyle Calzone with Roasted Soybeans  Curry,https://cookpad.com/eng/recipes/24751996,Ingredients Makes 23 calzones For the Dough 200 g Bread flour or all-purpose 1 tsp Dry yeast about 3g 1 tsp Sugar 1/2 tsp Salt 1 tbsp Olive oil 120-130 ml Warm water 3040C For the Filling 50 g Steamed soybeans lightly roasted 1/4 Onion finely chopped 1/4 Carrot finely chopped 1 tsp Curry powder 1 pinch Sugar 1/4 tsp Miso optional 1/2 tsp Soy sauce 40-50 g Melting cheese  mozzarella or shredded mix 1 tsp Olive oil Salt  pepper to taste For the Dough 200 g Bread flour or all-purpose 1 tsp Dry yeast about 3g 1 tsp Sugar 1/2 tsp Salt 1 tbsp Olive oil 120-130 ml Warm water 3040C For the Filling 50 g Steamed soybeans lightly roasted 1/4 Onion finely chopped 1/4 Carrot finely chopped 1 tsp Curry powder 1 pinch Sugar 1/4 tsp Miso optional 1/2 tsp Soy sauce 40-50 g Melting cheese  mozzarella or shredded mix 1 tsp Olive oil Salt  pepper to taste
51 Sando  Japanese Fruit Sandwich,https://cookpad.com/eng/recipes/24755612,Ingredients 20 minutes 4 portions 8 slices toast 250 gr whip cream 250 ml cold water 10 pcs strawberry choose your favourite Fruit 1 pc kiwi 5 pcs autumn seedless grapes 8 slices toast 250 gr whip cream 250 ml cold water 10 pcs strawberry choose your favourite Fruit 1 pc kiwi 5 pcs autumn seedless grapes
Japanese Teriyaki Chicken Pizza,https://cookpad.com/eng/recipes/24755294,"Ingredients 2 servings Prepared in advance Ayakas Pizza dough id24694745 200 g Chicken thigh 2 tbsp Soy sauce 2 tbsp Sugar 2 tbsp Sake or water 1 tbsp Oil 50 g Rice cake, diced 1 dash Shredded cheese 1 dash Nori dried laver , torn into small pieces As needed Mayonnaise Prepared in advance Ayakas Pizza dough id24694745 200 g Chicken thigh 2 tbsp Soy sauce 2 tbsp Sugar 2 tbsp Sake or water 1 tbsp Oil 50 g Rice cake, diced 1 dash Shredded cheese 1 dash Nori dried laver , torn into small pieces As needed Mayonnaise"
Japanese Smashed Cucumber with Umeboshi,https://cookpad.com/eng/recipes/24753170,"Ingredients Prep 5 min 2 cucumbers about 250g 2 umeboshi Japanese pickled plums, preferably low-salt 1 tsp sesame oil 1 tsp sugar 1 tsp soy sauce 1/2 tsp dashi powder or liquid dashi 1 pinch salt for salting the cucumber  2 cucumbers about 250g 2 umeboshi Japanese pickled plums, preferably low-salt 1 tsp sesame oil 1 tsp sugar 1 tsp soy sauce 1/2 tsp dashi powder or liquid dashi 1 pinch salt for salting the cucumber "
Japanese and Korean style snack pizza,https://cookpad.com/eng/recipes/24750381,Ingredients 16 gyoza Dumpling skins 120 g Shredded Mozzarella Cheese Japanese pizza sauce 30 g tomato paste 5 g Miso Wasabi as you like Japanese style topping 50 g chopped white onion 50 g shiitake mushrooms 3 shiso leaves 20 g pickled eggplants Korian pizza sauce 30 g tomato paste 5 g gochujang 5 g doubanjiang Chinese hot sauce  Korian style topping 3 chives 30 g Kimchi toasted sesame seeds as you like Korean nori seaweed 16 gyoza Dumpling skins 120 g Shredded Mozzarella Cheese Japanese pizza sauce 30 g tomato paste 5 g Miso Wasabi as you like Japanese style topping 50 g chopped white onion 50 g shiitake mushrooms 3 shiso leaves 20 g pickled eggplants Korian pizza sauce 30 g tomato paste 5 g gochujang 5 g doubanjiang Chinese hot sauce  Korian style topping 3 chives 30 g Kimchi toasted sesame seeds as you like Korean nori seaweed
Japanese Potato Salad,https://cookpad.com/eng/recipes/24660863,Ingredients 45 mins 8 servings 2 Large potatoes 1 Carrot 1/4 Sweet Onion 1 Persian Cucumber 2 Eggs 1/4 Cup Kewpie Mayo 2 Tablespoons Rice Vinegar Salt to taste 2 Large potatoes 1 Carrot 1/4 Sweet Onion 1 Persian Cucumber 2 Eggs 1/4 Cup Kewpie Mayo 2 Tablespoons Rice Vinegar Salt to taste
Japanese Napolitan Pasta,https://cookpad.com/eng/recipes/24727616,Ingredients 1h 2 servings 100 g spaghetti 2-3 sausages 1/4 onion 1/4 green pepper 1/4 carrot sauce 1 tsp soy sauce 3 tbsp ketchup 100 g spaghetti 2-3 sausages 1/4 onion 1/4 green pepper 1/4 carrot sauce 1 tsp soy sauce 3 tbsp ketchup
Oyakodon Japanese Chicken and Egg Rice Bowl,https://cookpad.com/eng/recipes/24707794,Ingredients 20 min 2 people Chicken thigh 220g 4 Egg Small 1 Onion 2 Soy sauce  2 tbsp Sake 2 tbsp Mirin 2 tsp Sugar 1/4 cup Water Chicken thigh 220g 4 Egg Small 1 Onion 2 Soy sauce  2 tbsp Sake 2 tbsp Mirin 2 tsp Sugar 1/4 cup Water
Chashu pork Japanese braised pork belly,https://cookpad.com/eng/recipes/24707630,Ingredients 60 min 4 people Pork shoulder 850g 1 cup water 1/2 cup soy sauce 1/2 cup sake 1/4 cup sugar Garlic Green part of a leek Pork shoulder 850g 1 cup water 1/2 cup soy sauce 1/2 cup sake 1/4 cup sugar Garlic Green part of a leek
Japanese Curry using Curry Roux mix,https://cookpad.com/eng/recipes/24692701,"Ingredients 60 min 4 people 1/2 box Japanese curry roux about 90100g 2 onions sliced 1 carrot cut into chunks 2 potatoes cut into chunks 300 400g meat  beef , chicken , pork , or ground meat  Water check the curry box for exact amount 1 tbsp cooking oil  vegetable oil or sesame oil  1/2 box Japanese curry roux about 90100g 2 onions sliced 1 carrot cut into chunks 2 potatoes cut into chunks 300 400g meat  beef , chicken , pork , or ground meat  Water check the curry box for exact amount 1 tbsp cooking oil  vegetable oil or sesame oil "
Japanese Mashed Cucumber Salad,https://cookpad.com/eng/recipes/24692676,Ingredients prep 5 min 2 people 3 cucumber 260g Salt 1 tbsp sesame oil 1 tsp vinegar 1 tsp soy sauce 1/4 tsp sugar Sesame seeds optional 3 cucumber 260g Salt 1 tbsp sesame oil 1 tsp vinegar 1 tsp soy sauce 1/4 tsp sugar Sesame seeds optional
NoFry Japanese Fried Chicken no egg with toaster,https://cookpad.com/eng/recipes/24679584,"Ingredients 30 min Boneless , skinless chicken thighs cut into bite-sized pieces 2 tbsp Soy sauce 1 tbsp Sake 1 tbsp Mirin 1 tsp Salt Grated ginger 1 clove optional Grated garlic 1 clove optional as needed All-purpose flour as needed Potato starch or cornstarch  Spray Cooking oil for the tray Black pepper or lemon juice  to taste optional Boneless , skinless chicken thighs cut into bite-sized pieces 2 tbsp Soy sauce 1 tbsp Sake 1 tbsp Mirin 1 tsp Salt Grated ginger 1 clove optional Grated garlic 1 clove optional as needed All-purpose flour as needed Potato starch or cornstarch  Spray Cooking oil for the tray Black pepper or lemon juice  to taste optional"
Japanese Tuna Poke Bowl,https://cookpad.com/eng/recipes/24664333,Ingredients prep 5 mins 2 people 1 pound Sashimi grade Tuna 1 tbsp mirin 1 tbsp sake 2 tbsp soy sauce 1 pound Sashimi grade Tuna 1 tbsp mirin 1 tbsp sake 2 tbsp soy sauce
Japanese Curry,https://cookpad.com/eng/recipes/24661034,Ingredients 30 mins 4 servings 1 lb pork shoulder 3 garlic cloves 1 tbsp minced ginger 1 chopped yellow onion 2 cups chopped carrots 2 cups chopped yellow potatoes 1 tbsp soy sauce 1 tsp salt 4 cups chicken broth 6 cubed golden curry roux 1 lb pork shoulder 3 garlic cloves 1 tbsp minced ginger 1 chopped yellow onion 2 cups chopped carrots 2 cups chopped yellow potatoes 1 tbsp soy sauce 1 tsp salt 4 cups chicken broth 6 cubed golden curry roux
Takikomi Gohan Japanese mixed mushroom rice,https://cookpad.com/eng/recipes/24580547,Ingredients 1 hour 6 servings 2 cups short grain Japanese rice 2 cups water 1 tablespoon soy sauce 1 tablespoon sake 1 teaspoon mirin 1/2 packet dashi powder 1 pack shimeji  brown beech mushrooms  4 dried shiitake 1 sheet abruaage 2 cups short grain Japanese rice 2 cups water 1 tablespoon soy sauce 1 tablespoon sake 1 teaspoon mirin 1/2 packet dashi powder 1 pack shimeji  brown beech mushrooms  4 dried shiitake 1 sheet abruaage
Japanese egg sandwiches,https://cookpad.com/eng/recipes/24617243,"Ingredients 40 mins 2 servings 3 eggs 2 tbsp kewpie mayo 2 tsp heavy cream can sub milk 1/4 tsp karashi Japanese mustard 1/4 tsp sugar salt and pepper , to taste squeeze lemon juice parsley , to garnish optional 4 slices Japanese milk bread 3 eggs 2 tbsp kewpie mayo 2 tsp heavy cream can sub milk 1/4 tsp karashi Japanese mustard 1/4 tsp sugar salt and pepper , to taste squeeze lemon juice parsley , to garnish optional 4 slices Japanese milk bread"
Ponzu Japanese Tofu and Pork Hamburg  with Daikon Sauce,https://cookpad.com/eng/recipes/24614840,"Ingredients 10-12 pieces 1 pack 450 g Ground pork 1 pack 450 g Firm tofu Onion ½ medium about 100 g, finely chopped 1 tbsp Potato starch 1 tbsp Soy sauce 1/3 tsp Grated garlic 1 pack 450 g Ground pork 1 pack 450 g Firm tofu Onion ½ medium about 100 g, finely chopped 1 tbsp Potato starch 1 tbsp Soy sauce 1/3 tsp Grated garlic"
Japanese Taco Rice,https://cookpad.com/eng/recipes/24610664,Ingredients 40mins 4 people Taco meat 2 tbs Olive oil 1 pound ground beef 1 canned beans I used pinto  1 medium yellow onion minced 3 cloves Garlic minced 3 tbs Ketchup 1 tbs Soy sauce 1/2 tsp kosher salt 1/2 tsp Black pepper ground 1 tsp ground cumin 1 tsp ground paprika 1/2 tsp oregano 1/2 cup water or any broth Salsa 1 large tomato small diced 1/2 yellow onion minced 1 clove garlic minced 1/2 tsp kosher salt 1/2 tsp ground cumin Half Lemon juice 2 tbs Cilantro finely chopped Rice 2 cups rice 1/4 tsp turmeric Water to cook rice Other ingredients Green salad baby spinach or lettuce  Cilantro for garnish 1 avocado sliced Taco meat 2 tbs Olive oil 1 pound ground beef 1 canned beans I used pinto  1 medium yellow onion minced 3 cloves Garlic minced 3 tbs Ketchup 1 tbs Soy sauce 1/2 tsp kosher salt 1/2 tsp Black pepper ground 1 tsp ground cumin 1 tsp ground paprika 1/2 tsp oregano 1/2 cup water or any broth Salsa 1 large tomato small diced 1/2 yellow onion minced 1 clove garlic minced 1/2 tsp kosher salt 1/2 tsp ground cumin Half Lemon juice 2 tbs Cilantro finely chopped Rice 2 cups rice 1/4 tsp turmeric Water to cook rice Other ingredients Green salad baby spinach or lettuce  Cilantro for garnish 1 avocado sliced
Japanese Brioche,https://cookpad.com/eng/recipes/24571347,"Ingredients 2 hours 8 people TANGZHONG 3 tablespoon bread flour 25gr 1/4 cup milk 60gr 1/4 cup water 60gr MAIN DOUGH  0.7 oz fresh bakers yeast or 2 1/4 teaspoons dry yeast 20gr fresh or 7gr dry 1/3 cup milk 100gr 1/4 cup sugar 50gr If you like it sweet, double the amount of sugar 1/2 teaspoon salt 1 egg 3 cups bread flour 360gr 3 tablespoon butter 40gr FOR BRUSHING 1 egg 1 splash milk TANGZHONG 3 tablespoon bread flour 25gr 1/4 cup milk 60gr 1/4 cup water 60gr MAIN DOUGH  0.7 oz fresh bakers yeast or 2 1/4 teaspoons dry yeast 20gr fresh or 7gr dry 1/3 cup milk 100gr 1/4 cup sugar 50gr If you like it sweet, double the amount of sugar 1/2 teaspoon salt 1 egg 3 cups bread flour 360gr 3 tablespoon butter 40gr FOR BRUSHING 1 egg 1 splash milk"
Japanese Spicy Hot Pot Base Akakara nabe inspired,https://cookpad.com/eng/recipes/24569092,Ingredients 30 mins 2 people 1/2 tbsp Chuuka Fu Dashi can substitute chicken bouillon  5 tbsp soy sauce 5 tbsp cooking sake 1 1/2 tbsp mirin 1/2 tbsp sugar 3 tbsp gochujang 1 tbsp tobanjan 2 cloves crushed garlic 3 tbsp honey 2 tbsp ground sesame seeds can substitute whole 2 cups water 1/2 tbsp Chuuka Fu Dashi can substitute chicken bouillon  5 tbsp soy sauce 5 tbsp cooking sake 1 1/2 tbsp mirin 1/2 tbsp sugar 3 tbsp gochujang 1 tbsp tobanjan 2 cloves crushed garlic 3 tbsp honey 2 tbsp ground sesame seeds can substitute whole 2 cups water
Tonkotsu Shoyu Ramen,https://cookpad.com/eng/recipes/25358581,"Ingredients 16hrs Tonkotsu base 6 g Kombu 240 g Water 3 L Water 3 Liters mentioned 1.3 kg Spare Ribs Whole rack, untrimmed 1 Pig s Foot Whole 450 g Ground Pork 30 g Garlic 15 g Ginger cut into coins Chicken stock addition 2.3 kg Chicken Wings Steeped Aromatics 300 g Onion 40 g Scallions 15 g Ginger Coins 30 g Garlic Crushed 6 g Kombu with liquid that was steeped previously 250 g Napa Cabbage Clarification 500 g Chicken Breast Lean, cubed 2 L Stock From the previous steps, after removing fat Dashi 1 L Water 25 g Kombu 25 g Bonito Flakes Shoyu Tare 400 g Soy Sauce 6 g Kombu 3 g Dried Shiitake Mushrooms 240 g Sake 5 g Garlic clove 40 g Mirin 8 g Bonito flakes  Katsuobushi  10 g Granulated Sugar 5 g Kosher salt 40 g Fish Sauce Aromatic Fat 1 Reserved Fat Skimmed from the top of the chilled stock 1 Lard or neutral oil add to reserved fat until you have a total of 300g before evaporating water 1-2 Garlic Clove Smashed Chashu Roast Pork Belly 900 g Pork Belly Center cut, skin-off 9 g Salt 9 g Brown Sugar 5 g Soy Sauce For marinade  5 g Mirin For marinade  Toppings 1 White Pepper 1 Raw Onion Finely diced/confetti cut 1 Spinach Blanched 1 Negi  Sliced scallion /onion 1 Nori  Seaweed sheets 4 Marinated or soft boiled Egg Ajitsuke Tamago Tonkotsu base 6 g Kombu 240 g Water 3 L Water 3 Liters mentioned 1.3 kg Spare Ribs Whole rack, untrimmed 1 Pig s Foot Whole 450 g Ground Pork 30 g Garlic 15 g Ginger cut into coins Chicken stock addition 2.3 kg Chicken Wings Steeped Aromatics 300 g Onion 40 g Scallions 15 g Ginger Coins 30 g Garlic Crushed 6 g Kombu with liquid that was steeped previously 250 g Napa Cabbage Clarification 500 g Chicken Breast Lean, cubed 2 L Stock From the previous steps, after removing fat Dashi 1 L Water 25 g Kombu 25 g Bonito Flakes Shoyu Tare 400 g Soy Sauce 6 g Kombu 3 g Dried Shiitake Mushrooms 240 g Sake 5 g Garlic clove 40 g Mirin 8 g Bonito flakes  Katsuobushi  10 g Granulated Sugar 5 g Kosher salt 40 g Fish Sauce Aromatic Fat 1 Reserved Fat Skimmed from the top of the chilled stock 1 Lard or neutral oil add to reserved fat until you have a total of 300g before evaporating water 1-2 Garlic Clove Smashed Chashu Roast Pork Belly 900 g Pork Belly Center cut, skin-off 9 g Salt 9 g Brown Sugar 5 g Soy Sauce For marinade  5 g Mirin For marinade  Toppings 1 White Pepper 1 Raw Onion Finely diced/confetti cut 1 Spinach Blanched 1 Negi  Sliced scallion /onion 1 Nori  Seaweed sheets 4 Marinated or soft boiled Egg Ajitsuke Tamago"
Japanese Style Hamburger Steak ハンバーグ,https://cookpad.com/eng/recipes/24464316,"Ingredients 22 - 25 minutes Makes 14 patties For the Meat Patties 1 lb 80 lean ground beef 1 lb ground pork 1 medium yellow onion , very finely chopped 3/4 cup Panko breadcrumbs 4 tablespoons whole milk I used equal amounts of skim milk and half and half 1 large egg 1 3/4 teaspoon kosher salt 1 1/2 teaspoons Dijon mustard Neutral oil, such as vegetable or canola oil 1/8 teaspoons ground nutmeg Several grinds of black pepper For the Sauce 2/3 cup ketchup 2 teaspoons Dijon mustard OR 2 teaspoons honey mustard 1/4 teaspoon white wine vinegar  4 teaspoons Worcestershire sauce 4 teaspoon soy sauce 4 teaspoons brown sugar 4 tablespoons unsalted butter , cut into small pieces For the Meat Patties 1 lb 80 lean ground beef 1 lb ground pork 1 medium yellow onion , very finely chopped 3/4 cup Panko breadcrumbs 4 tablespoons whole milk I used equal amounts of skim milk and half and half 1 large egg 1 3/4 teaspoon kosher salt 1 1/2 teaspoons Dijon mustard Neutral oil, such as vegetable or canola oil 1/8 teaspoons ground nutmeg Several grinds of black pepper For the Sauce 2/3 cup ketchup 2 teaspoons Dijon mustard OR 2 teaspoons honey mustard 1/4 teaspoon white wine vinegar  4 teaspoons Worcestershire sauce 4 teaspoon soy sauce 4 teaspoons brown sugar 4 tablespoons unsalted butter , cut into small pieces"
Ramen Eggs,https://cookpad.com/eng/recipes/25337166,Ingredients 4-7 servings 4-7 Eggs 1/2 cup Soy sauce 1/2 cup Mirin sweet cooking rice seasoning 1.5 cups Water 4-7 Eggs 1/2 cup Soy sauce 1/2 cup Mirin sweet cooking rice seasoning 1.5 cups Water
Grilled Teriyaki Wings Cook or Freeze ready,https://cookpad.com/eng/recipes/25288957,Ingredients 30 minutes 1hr prep time Chicken marinate 1 1/2 lbs whole chicken wings Half bottle Lawry teriyaki 1 tbsp salt 1 tbsp pepper Rice instructions 1 cup rice 2 cups water Chicken marinate 1 1/2 lbs whole chicken wings Half bottle Lawry teriyaki 1 tbsp salt 1 tbsp pepper Rice instructions 1 cup rice 2 cups water
Easy Vegan Dumpling Ramen Bake,https://cookpad.com/eng/recipes/25194966,"Ingredients 40 minutes 4 people 25 g fresh ginger 4 cloves garlic 1 tbsp chilli flakes 35 g / 2 tbsp miso paste 1 tbsp rice wine vinegar 30 ml 0 sugar maple syrup 50 g Peanut butter powder 50 g runny tahini 2 tbsp soy sauce 35 g spring onions 6 400 ml unsweatened almond milk 850 ml vegetable stock 100 g Dried TVP 440 g 1 packet, serves 4 rice noodles 12 frozen vegan Goyoza Topping Sesame seeds Spring onion Coriander 25 g fresh ginger 4 cloves garlic 1 tbsp chilli flakes 35 g / 2 tbsp miso paste 1 tbsp rice wine vinegar 30 ml 0 sugar maple syrup 50 g Peanut butter powder 50 g runny tahini 2 tbsp soy sauce 35 g spring onions 6 400 ml unsweatened almond milk 850 ml vegetable stock 100 g Dried TVP 440 g 1 packet, serves 4 rice noodles 12 frozen vegan Goyoza Topping Sesame seeds Spring onion Coriander"
Microwaved Ramen,https://cookpad.com/eng/recipes/25189708,"Ingredients 4 mins 1 serving 1 Instant ramen pack 1 cup 240 ml Water 1 plus extra, if desired Seasoning packet from ramen to taste Slap Ya Mama seasoning to taste Tonys seasoning 1 pinch Salt 1 Instant ramen pack 1 cup 240 ml Water 1 plus extra, if desired Seasoning packet from ramen to taste Slap Ya Mama seasoning to taste Tonys seasoning 1 pinch Salt"
Chicken Teriyaki Shish Kabobs,https://cookpad.com/eng/recipes/25183018,"Ingredients 2 servings 300 g Chicken breast or thighs 2 tbsp Chicken rub 1 , cut into chunks Green bell pepper 1 , cut into chunks Red bell pepper 1 , cut into chunks Onion 1 tsp Garlic powder 1/2 , cut into chunks Pineapple 1 tbsp Olive oil 3 tbsp Chicken teriyaki sauce 2 tbsp for spray Water 2 tbsp for spray Orange juice 300 g Chicken breast or thighs 2 tbsp Chicken rub 1 , cut into chunks Green bell pepper 1 , cut into chunks Red bell pepper 1 , cut into chunks Onion 1 tsp Garlic powder 1/2 , cut into chunks Pineapple 1 tbsp Olive oil 3 tbsp Chicken teriyaki sauce 2 tbsp for spray Water 2 tbsp for spray Orange juice"
Avocado and Cream Cheese Sushi,https://cookpad.com/eng/recipes/25170909,Ingredients 30 minutes 20 sushi pieces 3 Nori sheets 1 Hass avocado 1 cup sushi rice uncooked 3 oz cream cheese 1/2 tbsp rice vinegar 3 tsp sesame seeds 1/2 tsp lemon juice 3 Nori sheets 1 Hass avocado 1 cup sushi rice uncooked 3 oz cream cheese 1/2 tbsp rice vinegar 3 tsp sesame seeds 1/2 tsp lemon juice
Beef Ramen with Broccoli,https://cookpad.com/eng/recipes/25169980,"Ingredients 45 minutes 2 servings 1 Tbs vinegar 4-6 Tbs low sodium soy sauce , divided 2 Tbs cornstarch , divided 2 Tbs minced garlic 1 pound your favorite cheaper cut of steak 2 packages beef ramen, save the flavor packets 2 Tbs oyster sauce 1 tsp sugar 3-4 Tbs neutral cooking oil 1 bag frozen broccoli 3/4 cup cold water 1 tsp red pepper flakes 1 Tbs vinegar 4-6 Tbs low sodium soy sauce , divided 2 Tbs cornstarch , divided 2 Tbs minced garlic 1 pound your favorite cheaper cut of steak 2 packages beef ramen, save the flavor packets 2 Tbs oyster sauce 1 tsp sugar 3-4 Tbs neutral cooking oil 1 bag frozen broccoli 3/4 cup cold water 1 tsp red pepper flakes"
